WeekEndDate,is_snap_window_1_week,is_snap_window_2_week,is_semimonthly_payweek,is_tax_refund_season_week,holiday_impact_week,holiday_name_week
2010-02-05,1,0,0,0,0,
2010-02-12,1,1,0,0,3,Super Bowl
2010-02-19,0,1,1,1,1,Presidents Day
2010-02-26,0,1,0,1,0,
2010-03-05,1,0,1,1,0,
2010-03-12,1,1,0,1,0,
2010-03-19,0,1,1,1,0,
2010-03-26,0,1,0,1,0,
2010-04-02,1,0,1,1,0,
2010-04-09,1,0,0,1,0,
2010-04-16,1,1,1,1,0,
2010-04-23,0,1,0,0,0,
2010-04-30,0,0,1,0,0,
2010-05-07,1,0,0,0,0,
2010-05-14,1,1,0,0,0,
2010-05-21,0,1,1,0,0,
2010-05-28,0,0,0,0,0,
2010-06-04,1,0,1,0,1,Memorial Day
2010-06-11,1,1,0,0,0,
2010-06-18,0,1,1,0,0,
2010-06-25,0,1,0,0,0,
2010-07-02,1,0,1,0,0,
2010-07-09,1,0,0,0,1,Independence Day
2010-07-16,1,1,1,0,0,
2010-07-23,0,1,0,0,0,
2010-07-30,0,0,0,0,0,
2010-08-06,1,0,1,0,0,
2010-08-13,1,1,0,0,0,
2010-08-20,0,1,1,0,0,
2010-08-27,0,0,0,0,0,
2010-09-03,1,0,1,0,0,
2010-09-10,1,0,0,0,3,Labor Day
2010-09-17,0,1,1,0,0,
2010-09-24,0,1,0,0,0,
2010-10-01,1,0,1,0,0,
2010-10-08,1,0,0,0,0,
2010-10-15,1,1,1,0,0,
2010-10-22,0,1,0,0,0,
2010-10-29,0,0,0,0,0,
2010-11-05,1,0,1,0,0,
2010-11-12,1,1,0,0,0,
2010-11-19,0,1,1,0,0,
2010-11-26,0,1,0,0,5,Thanksgiving
2010-12-03,1,0,1,0,0,
2010-12-10,1,0,0,0,0,
2010-12-17,0,1,1,0,0,
2010-12-24,0,1,0,0,3,Christmas Eve
2010-12-31,0,0,1,0,5,Christmas
2011-01-07,1,0,0,0,1,New Years Day
2011-01-14,1,1,0,0,0,
2011-01-21,0,1,1,0,0,
2011-01-28,0,0,0,0,0,
2011-02-04,1,0,1,0,0,
2011-02-11,1,1,0,0,3,Super Bowl
2011-02-18,0,1,1,1,0,
2011-02-25,0,1,0,1,1,Presidents Day
2011-03-04,1,0,1,1,0,
2011-03-11,1,1,0,1,0,
2011-03-18,0,1,1,1,0,
2011-03-25,0,1,0,1,0,
2011-04-01,1,0,1,1,0,
2011-04-08,1,0,0,1,0,
2011-04-15,1,1,1,1,0,
2011-04-22,0,1,0,0,0,
2011-04-29,0,0,0,0,0,
2011-05-06,1,0,1,0,0,
2011-05-13,1,1,0,0,0,
2011-05-20,0,1,1,0,0,
2011-05-27,0,0,0,0,0,
2011-06-03,1,0,1,0,1,Memorial Day
2011-06-10,1,0,0,0,0,
2011-06-17,0,1,1,0,0,
2011-06-24,0,1,0,0,0,
2011-07-01,1,0,1,0,0,
2011-07-08,1,0,0,0,1,Independence Day
2011-07-15,1,1,1,0,0,
2011-07-22,0,1,0,0,0,
2011-07-29,0,0,0,0,0,
2011-08-05,1,0,1,0,0,
2011-08-12,1,1,0,0,0,
2011-08-19,0,1,1,0,0,
2011-08-26,0,1,0,0,0,
2011-09-02,1,0,1,0,0,
2011-09-09,1,0,0,0,3,Labor Day
2011-09-16,1,1,1,0,0,
2011-09-23,0,1,0,0,0,
2011-09-30,0,0,1,0,0,
2011-10-07,1,0,0,0,0,
2011-10-14,1,1,0,0,0,
2011-10-21,0,1,1,0,0,
2011-10-28,0,0,0,0,0,
2011-11-04,1,0,1,0,0,
2011-11-11,1,1,0,0,0,
2011-11-18,0,1,1,0,0,
2011-11-25,0,1,0,0,5,Thanksgiving
2011-12-02,1,0,1,0,0,
2011-12-09,1,0,0,0,0,
2011-12-16,1,1,1,0,0,
2011-12-23,0,1,0,0,0,
2011-12-30,0,0,0,0,5,Christmas Eve
2012-01-06,1,0,1,0,1,New Years Day
2012-01-13,1,1,0,0,0,
2012-01-20,0,1,1,0,0,
2012-01-27,0,0,0,0,0,
2012-02-03,1,0,1,0,0,
2012-02-10,1,0,0,0,3,Super Bowl
2012-02-17,0,1,1,1,0,
2012-02-24,0,1,0,1,1,Presidents Day
2012-03-02,1,0,1,1,0,
2012-03-09,1,0,0,1,0,
2012-03-16,1,1,1,1,0,
2012-03-23,0,1,0,1,0,
2012-03-30,0,0,0,1,0,
2012-04-06,1,0,1,1,0,
2012-04-13,1,1,0,1,0,
2012-04-20,0,1,1,1,0,
2012-04-27,0,0,0,0,0,
2012-05-04,1,0,1,0,0,
2012-05-11,1,1,0,0,0,
2012-05-18,0,1,1,0,0,
2012-05-25,0,1,0,0,0,
2012-06-01,1,0,1,0,1,Memorial Day
2012-06-08,1,0,0,0,0,
2012-06-15,1,1,1,0,0,
2012-06-22,0,1,0,0,0,
2012-06-29,0,0,0,0,0,
2012-07-06,1,0,1,0,1,Independence Day
2012-07-13,1,1,0,0,0,
2012-07-20,0,1,1,0,0,
2012-07-27,0,0,0,0,0,
2012-08-03,1,0,1,0,0,
2012-08-10,1,0,0,0,0,
2012-08-17,0,1,1,0,0,
2012-08-24,0,1,0,0,0,
2012-08-31,0,0,1,0,0,
2012-09-07,1,0,0,0,3,Labor Day
2012-09-14,1,1,0,0,0,
2012-09-21,0,1,1,0,0,
2012-09-28,0,0,0,0,0,
2012-10-05,1,0,1,0,0,
2012-10-12,1,1,0,0,0,
2012-10-19,0,1,1,0,0,
2012-10-26,0,1,0,0,0,
